workflow_id,stage_id,stage_type,workload_id,workload_source,chromosome,region_start,region_end,region_size,variant_count,sample_count,dataset_size_mb,requested_cpu,requested_memory_mb,worker_count,runtime_seconds,actual_cpu,actual_memory_mb,success,timestamp
wf-genomic-all_100s-00,vcf_stats_chr22_small_100s,vcf_stats,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,500m,256.0,4,0.417,0.5,49.1,True,2026-09-21 16:59:26
wf-genomic-all_100s-00,filtering_chr22_small_100s,filtering,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,1000m,256.0,1,0.417,0.422,28.0,True,2026-09-21 03:03:26
wf-genomic-all_100s-00,variant_processing_chr22_small_100s,variant_processing,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,1000m,512.0,4,0.411,1.0,46.02,True,2026-09-22 07:01:26
wf-genomic-all_100s-00,feature_extraction_chr22_small_100s,feature_extraction,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,250m,2048.0,1,0.402,0.25,28.0,True,2026-09-22 09:07:26
wf-genomic-all_100s-00,analysis_chr22_small_100s,analysis,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,2000m,256.0,2,0.423,0.857,28.0,True,2026-09-22 06:14:26
wf-genomic-all_100s-01,vcf_stats_chr22_small_100s,vcf_stats,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,2000m,2048.0,2,0.428,0.797,28.0,True,2026-09-20 15:59:26
wf-genomic-all_100s-01,filtering_chr22_small_100s,filtering,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,500m,2048.0,2,0.4,0.5,28.0,True,2026-09-22 20:25:26
wf-genomic-all_100s-01,variant_processing_chr22_small_100s,variant_processing,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,500m,1024.0,1,0.381,0.426,28.0,True,2026-09-21 08:32:26
wf-genomic-all_100s-01,feature_extraction_chr22_small_100s,feature_extraction,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,2000m,512.0,2,0.421,0.736,28.0,True,2026-09-23 11:06:26
wf-genomic-all_100s-01,analysis_chr22_small_100s,analysis,chr22_small_100s,genomic,22,16050000,16150000,100000,1170,100,0.0301,500m,512.0,4,0.378,0.5,50.81,True,2026-09-21 15:04:26
