workflow_id,stage_id,stage_type,workload_id,workload_source,chromosome,region_start,region_end,region_size,variant_count,sample_count,dataset_size_mb,requested_cpu,requested_memory_mb,worker_count,runtime_seconds,actual_cpu,actual_memory_mb,success,timestamp
wf-12345678,s1,Job,test_s1,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.001,0.5,50.0,True,2026-09-23T13:26:43.410576
wf-12345678,s2,Job,test_s2,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.0,0.5,50.0,True,2026-09-23T13:26:43.412250
wf-parallel,root,Job,test_root,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.0,0.5,50.0,True,2026-09-23T13:26:43.417876
wf-parallel,branch_a,Job,test_branch_a,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.002,0.5,50.0,True,2026-09-23T13:26:43.420016
wf-parallel,branch_b,Job,test_branch_b,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.001,0.5,50.0,True,2026-09-23T13:26:43.421165
wf-parallel,join,Job,test_join,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.001,0.5,50.0,True,2026-09-23T13:26:43.422291
wf-fail,s1,Job,test_s1,phase1_test,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.0,0.5,50.0,False,2026-09-23T13:26:43.427026
wf-sm-00,vcf_stats_small,vcf_stats,sim_vcf_stats_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,1024.0,4,0.5,0.5,68.94,True,2026-09-22 05:54:14
wf-sm-00,filtering_small,filtering,sim_filtering_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,256.0,2,0.5,0.5,37.33,True,2026-09-18 00:30:14
wf-sm-00,variant_processing_small,variant_processing,sim_variant_processing_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,256.0,1,0.5,0.383,25.0,True,2026-09-19 20:31:14
wf-sm-00,feature_extraction_small,feature_extraction,sim_feature_extraction_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,2048.0,4,0.5,0.5,59.68,True,2026-09-21 21:47:14
wf-sm-00,analysis_small,analysis,sim_analysis_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,1,0.5,0.415,25.0,True,2026-09-23 04:53:14
wf-sm-01,vcf_stats_small,vcf_stats,sim_vcf_stats_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,250m,2048.0,2,0.5,0.25,37.57,True,2026-09-16 23:29:14
wf-sm-01,filtering_small,filtering,sim_filtering_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,2000m,2048.0,1,0.5,0.409,25.0,True,2026-09-21 20:32:14
wf-sm-01,variant_processing_small,variant_processing,sim_variant_processing_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,4,0.5,1.0,68.47,True,2026-09-17 00:53:14
wf-sm-01,feature_extraction_small,feature_extraction,sim_feature_extraction_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,512.0,1,0.5,0.391,25.0,True,2026-09-21 07:26:14
wf-sm-01,analysis_small,analysis,sim_analysis_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,250m,2048.0,2,0.5,0.25,33.81,True,2026-09-21 09:03:14
wf-sm-02,vcf_stats_small,vcf_stats,sim_vcf_stats_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,250m,1024.0,2,0.5,0.25,29.39,True,2026-09-17 12:46:14
wf-sm-02,filtering_small,filtering,sim_filtering_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,250m,2048.0,1,0.5,0.25,25.0,True,2026-09-18 04:11:14
wf-sm-02,variant_processing_small,variant_processing,sim_variant_processing_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,1000m,512.0,2,0.5,0.845,30.91,True,2026-09-18 16:49:14
wf-sm-02,feature_extraction_small,feature_extraction,sim_feature_extraction_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,2000m,256.0,1,0.5,0.442,25.0,True,2026-09-21 02:03:14
wf-sm-02,analysis_small,analysis,sim_analysis_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,2000m,256.0,4,0.5,1.967,69.41,True,2026-09-18 16:21:14
wf-sm-03,vcf_stats_small,vcf_stats,sim_vcf_stats_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,1024.0,4,0.5,0.5,56.88,True,2026-09-20 13:46:14
wf-sm-03,filtering_small,filtering,sim_filtering_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,512.0,2,0.5,0.5,37.54,True,2026-09-19 08:57:14
wf-sm-03,variant_processing_small,variant_processing,sim_variant_processing_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,2048.0,2,0.5,0.5,34.56,True,2026-09-20 16:20:14
wf-sm-03,feature_extraction_small,feature_extraction,sim_feature_extraction_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,1000m,2048.0,4,0.5,1.0,67.3,True,2026-09-21 08:17:14
wf-sm-03,analysis_small,analysis,sim_analysis_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,250m,2048.0,4,0.5,0.25,66.16,True,2026-09-18 11:51:14
wf-sm-04,vcf_stats_small,vcf_stats,sim_vcf_stats_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,2000m,256.0,4,0.5,1.627,62.3,True,2026-09-21 05:04:14
wf-sm-04,filtering_small,filtering,sim_filtering_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,2000m,256.0,1,0.5,0.482,25.0,True,2026-09-20 04:19:14
wf-sm-04,variant_processing_small,variant_processing,sim_variant_processing_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,500m,1024.0,2,0.5,0.5,31.3,True,2026-09-18 10:07:14
wf-sm-04,feature_extraction_small,feature_extraction,sim_feature_extraction_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,1000m,2048.0,4,0.5,1.0,57.71,True,2026-09-19 11:07:14
wf-sm-04,analysis_small,analysis,sim_analysis_small,simulated,22,16050000,16150000,100000,1170,2504,0.17,250m,2048.0,2,0.5,0.25,33.93,True,2026-09-19 09:51:14
